ID Degustazione,ID Vino,Data Degustazione,Luogo Degustazione,Valutazione,Degustazione Visiva,Degustazione Olfattiva,Degustazione Gustativa,Degustazione Giudizio Generale,Prezzo,Foto Etichetta,Foto Retro Etichetta
1,1,25/05/2024,Casa,4/5,giallo dorato,"frutta bianca, agrume, minerale, mandorla delicata, pasticceria non marcata","fresco e molto sapido, agrume forte al sorso, bolla fragrante, buona struttura e persistenza, bevibilità","prima bottiglie di Alessandra Divella e giudizio più che positivo, in compagnia, aperitivo, tavola",,,
2,2,14/07/2024,Casa,"3,5/5",giallo dorato,"frutta da bianca a rossa, agrume, gessoso, ottima e delicata pasticceria","fresco e sapido, buona struttura e persistenza, buona bevibilità","buono, seconda etichetta di Divella e il bdb mi ha colpito di più",,,
3,3,01/12/2022,Anima Milano (Google),2/5,,,,,,,
4,4,09/08/2023,La Bella Vita -Trento,"2,5-3/5",,fruttato con bella frutta rossa e agrume,fresco con una bella acidità agrumata che stimola la bevuta. Buona persistenza ma non lunghissimo.,"buono da aperitivo, manca di struttura e profondità",,,
5,5,10/08/2023,La Bella Vita -Trento,"2,5-3/5",giallo paglierino,"frutta bianca, pera, e agrume. Man mano che si apre esce una leggera polvere da sparo e pasticceria","fresco da agrume che da una bella bevibilita, persistente ma non lunghissimo.",buono per aperitivo ma manca di struttura e profondità,,,
6,6,23/04/2023,Antica Osteria Cavallini - Milano,"2,5/5",giallo paglierino,"frutta bianca, mela, agrume e tipico pietra focaia dello Chardonnay.",fresco ma non equilibra perfettamente una nota dolce che anche se extra brut comunque avverto. Si conferma la frutta bianca.,"buono ma non da comprare ne riprovare al ristorante, a meno di non avere alternativa come stasera.",,,
7,7,07/07/2023,Casa Palla,"1,5/5",rosa cipolla,"sentori di frutta rossa, fragolina, con un sentore di alcool",Al palato prevale un amaricante non piacevole,non è il mio vino (ma potrebbe essere la bottiglia non al massimo),,,
8,8,25/09/2022,Chiara e Claudio,?/5,,,,"Bevuto in calici inadeguati e condizioni impossibili, potrebbe essere interessante; da provare se capita",,,
9,9,28/06/2023,Champagne Society - Bu:r,"2,5-3/5",,"muffa di cantina (terra?) piacevole, fungo leggero ma presente","tamarindo, fungo, sottobosco, acido e fresco, con agrume","sorpresa dalla Napa Valley, interessante anche se perplesso, da ribere",,,
10,10,14/11/2023,Winetip,2/5,Vista: giallo paglierino tendente al dorato,"fruttato (rossa e bianca), agrume e floreale, leggera spezia,","fresco e leggermente sapido, bolla non troppo coinvolgente, mandorla","manca di spalla, non lungo",,,
11,11,12/04/2023,Fuori Modena - Vicenza,3/5,giallo oro,"frutta gialla, pera Williams,",fresco e pera Williams confermata anche al gusto di,,,,
12,12,13/04/2023,Fuori Modena - Vicenza,"2,5/5",rosa confetto,petali di rosa,"fresco, petalo di rosa",,,,
13,13,04/06/2023,casa,"4-4,5/5","Giallo ambrato, bellissimo, caldo","frutta tropicale dolce (ananas, papaya, etc), frutta rossa non pungente presente ma delicata, poi panettone, pasticceria, miele, burro","fresco di agrumi ma non acidità eccessiva, dolce da frutta tropicale e pasticceria, da bere a nastro, gastronomico da formaggi, salumi ma lo berrei anche su pasticceria e dolci da forno come panettone. Delicatamente lungo.","una sorpresa stupenda, vino che trasmette gioia. Unico, no paragonabile a nulla.",,,
14,14,31/03/2024,Casa Palla,"1,5/5","giallo paglierino, bolla esplosiva e schiumosa",frutta bianca e agrume,dolcezza che sovrasta,da lasciare sugli scaffali,,,
