ID Vino,Tipologia Vino,Tipologia Produttore,Produttore,Tipologia Agricoltura,Tipologia Vinificazione,Terroir,Disciplinare,Etichetta,Vigna_Clos_Lieu-Dit_Climat,Uvaggio,Millesimo,Dimensione Bottiglia,Dosaggio,Data Imbottigliamento,Mesi sui Lieviti,Data Sboccatura,Distributore
1,Metodo Classico,RM,Alessandra Divella,,Artigianale,Cussago,Franciacorta (out),Blanc de Blancs,,100% Chard,NV (base 18),"0,75",pas dosè,,36,07/2023,
2,Metodo Classico,RM,Alessandra Divella,,Artigianale,Cussago,Franciacorta (out),Blanc de Noirs,,100% PN,NV (base 18),"0,75",pas dosè,,42,01/2023,
3,Metodo Classico,,Altemasi,,,,Trento Doc,Millesimato,,100% Chard,2018,"0,75",,,36,2022,
4,Metodo Classico,,Bellaveder,,,,Trento Doc,Rosè Riserva,,100% PN,2018,"0,75",pas dosè,,36,2022,
5,Metodo Classico,,Bellaveder,,,,Trento Doc,Nature Riserva,,100% Chard,2019,"0,75",pas dosè,,36,2023,
6,Metodo Classico,NM,Berlucchi,,,,Franciacorta,61 Sessantuno Extra Brut,,85% Chard - 15% PN,,"0,75",5 g/l,,24,,
7,Metodo Classico,,Camossi,,,,Franciacorta,Rosè,,100% PN,NV (base 20),"0,75",,05/2021,24,05/2023,
8,Metodo Classico,,Contratto,,,,Alta Langa,Millesimato Pas Dosè,,80% PN - 20% Chard,2016,"0,75",pas dosè,,51,02/2022,
9,Metodo Classico,,Cruse Wine Company,,,,Napa Valley,Cruse Tradition,,73% Card - 27% PN,NV (base 19),"0,75",pas dosè,,,,
10,Metodo Classico,,Damilano,,,,Metodo Classico,Extra Brut Millesimato,,75% PN - 25% Chard,2015,"0,75",,,24,2018,
11,Charmat,RM,Fangareggi,,Artigianale,,Lambrusco Sorbara,Biancospino,,85% Lambr. Sorb.,NV,"0,75",,,,,
12,Charmat,RM,Fangareggi,,Artigianale,,Lambrusco Sorbara,Vigna Rosa,,85% Lambr. Sorb.,NV,"0,75",,,,,
13,Ancestrale,RM,Fausto Andi,,Artigianale,Oltrepo Pavese,Oltrepò Pavese,Giubilo,,PN - Barbera - Vitigni gerogiani,2017,"0,75",,,,,
14,Metodo Classico,NM,Ferrari F.lli Lunelli,,,Trento,Trento Doc,Ferrari Maximum Blanc de Blancs,,100% Chard,NV,"0,75",,,,2023,
15,Metodo Classico,NM,Ferrari F.lli Lunelli,,,Trento,Trento Doc,Giulio Ferrari Riserva del Fondatore,,100% Chard,2006,"0,75",,,120,2017,
16,Metodo Classico,NM,Ferrari F.lli Lunelli,,,Trento,Trento Doc,Giulio Ferrari Riserva del Fondatore,,100% Chard,2009,"0,75",,,132,2021,
17,Metodo Classico,NM,Ferrari F.lli Lunelli,,,Trento,Trento Doc,Giulio Ferrari Riserva del Fondatore,,100% Chard,2010,"0,75",,,120,2021,
18,Metodo Classico,NM,Ferrari F.lli Lunelli,,,Trento,Trento Doc,Perlè Bianco Riserva,,100% Chard,2015,"0,75",,,72,2022,
19,charmat,,Forchir,,,,Friuli DOC,Ribolla Gialla Brut,,100% Rib. Gia:,NV,"0,75",,,,10/2021,
20,Metodo Classico,RM,Franz Haas,,,Mazzone,Alto Adige DOC,Pas Dosè,,100% PN,2017,"0,75",pas dosè,,60,04/2023,
21,Metodo Classico,RM,Franz Haas,,,Mazzone,Alto Adige DOC,Pas Dosè,,100% PN,2018,"0,75",pas dosè,,48,04/2023,
22,Metodo Classico,RM,I Suoli,,,,Terre Siciliane IGT (Etna),I Suoli,,100% Nerello Mascalese,2019,"0,75",,,,,
23,Metodo Classico,RM,Kellerei St. Pauls,,,,Alto Adige DOC,Praeclarus Blanc de Blancs,,100% Chard,NV,"0,75",5 g/l,,40,06/2023,
24,Metodo Classico,RM,Marco Buvoli,,Artigianale,Vicenza,Vino Spumante di Qualità,Tre Rosè,,100% PN,NV (base 18),"0,75","4,5 g/l",,36,11/2022,
25,Metodo Classico,RM,Marco Buvoli,,Artigianale,Vicenza,Vino Spumante di Qualità,Tre  ,,100% PN,NV (base 19),"0,75",4 g/l,,36,01/2023,
26,Metodo Classico,RM,Marco Buvoli,,Artigianale,Vicenza,Vino Spumante di Qualità,Quattro,,100% PN,NV (base 16),"0,75",5 g/l,,48,01/2021,
27,Metodo Classico,RM,Marco Buvoli,,Artigianale,Vicenza,Vino Spumante di Qualità,Cinque pas dosè,,100% PN,NV (base 15),"0,75",< 1 g/l,,60,10/2021,
28,Metodo Classico,RM,Marco Buvoli,,Artigianale,Vicenza,Vino Spumante di Qualità,Sette Rosè,,100% PN,NV (base 15),"0,75","2,5 g/l",,84,01/2023,
